timestamp,open,high,low,close,volume
2022-06-04,298.6,302.9,294.8,301.3,293533.108
2022-06-05,301.4,302.5,295.0,299.1,269695.901
2022-06-06,299.1,312.3,288.0,295.1,758590.86
2022-06-07,295.1,295.9,273.5,290.3,969784.619
2022-06-08,290.3,294.6,283.9,288.5,509510.455
2022-06-09,288.5,293.4,286.3,289.9,335495.073
2022-06-10,289.9,298.9,283.2,286.4,817523.364
2022-06-11,286.4,290.6,265.2,269.9,584351.456
2022-06-12,269.9,272.0,251.1,254.8,827755.035
2022-06-13,254.8,257.8,213.2,223.0,2377589.4089
2022-06-14,222.9,231.4,204.1,223.0,1922025.0844
2022-06-15,223.1,234.7,198.4,233.6,2105397.5515
2022-06-16,233.6,237.2,207.7,210.2,975592.873
2022-06-17,210.3,222.1,207.7,215.8,690834.308
2022-06-18,215.8,219.0,183.4,197.0,1404690.4959
2022-06-19,197.0,217.0,189.7,215.1,1102166.171
2022-06-20,215.1,219.8,204.8,216.5,880400.844
2022-06-21,216.5,228.4,213.1,220.1,829003.565
2022-06-22,220.2,221.0,211.2,214.4,690466.465
2022-06-23,214.4,231.7,214.0,228.9,783796.952
2022-06-24,229.0,243.3,228.3,240.2,707275.387
2022-06-25,240.3,242.1,229.7,239.7,490948.31
2022-06-26,239.7,245.2,233.2,233.9,456762.547
2022-06-27,234.0,241.0,230.0,233.8,483616.798
2022-06-28,233.9,242.8,225.9,226.9,632626.779
2022-06-29,227.0,229.8,215.4,219.7,711780.691
2022-06-30,219.7,220.3,205.4,219.6,791526.898
2022-07-01,219.6,226.8,213.5,216.9,816261.885
2022-07-02,216.9,219.7,213.8,218.3,342712.099
2022-07-03,218.4,220.1,213.9,219.2,361103.065
2022-07-04,219.2,232.2,214.8,231.5,514662.946
2022-07-05,231.6,236.6,222.9,230.8,684927.621
2022-07-06,230.8,240.0,229.0,238.6,644951.713
2022-07-07,238.6,243.8,230.0,241.4,488193.225
2022-07-08,241.4,247.7,237.0,240.7,643936.034
2022-07-09,240.7,245.0,240.4,243.3,267778.165
2022-07-10,243.3,243.5,231.7,234.7,396712.237
2022-07-11,234.7,235.0,225.1,225.6,419335.067
2022-07-12,225.7,228.3,220.2,220.6,410220.066
2022-07-13,220.6,231.3,216.4,230.5,714589.61
2022-07-14,230.5,240.0,227.1,238.5,577524.874
2022-07-15,238.6,242.7,235.4,238.5,446513.822
2022-07-16,238.6,251.5,233.9,249.8,423399.994
2022-07-17,249.8,256.1,246.4,247.8,436448.547
2022-07-18,247.8,265.6,247.6,264.1,747067.029
2022-07-19,264.1,274.8,255.8,268.6,946386.94
2022-07-20,268.6,272.0,256.4,258.2,771496.808
2022-07-21,258.3,266.0,250.7,265.6,545140.272
2022-07-22,265.6,271.4,261.1,262.4,508542.317
2022-07-23,262.5,272.6,252.7,259.2,488326.247
2022-07-24,259.2,266.2,257.1,261.4,333902.611
2022-07-25,261.4,262.7,243.8,244.6,458768.533
2022-07-26,244.7,249.6,239.6,249.4,365533.647
2022-07-27,249.5,272.0,247.5,271.6,656773.695
2022-07-28,271.6,280.8,263.6,277.2,669832.4
2022-07-29,277.2,302.0,274.8,293.6,1077799.221
2022-07-30,293.6,300.2,285.1,287.8,683111.103
2022-07-31,287.8,297.1,282.1,283.4,564727.273
2022-08-01,283.5,290.5,277.9,283.2,493847.804
2022-08-02,283.3,291.1,274.2,283.8,627814.081
2022-08-03,283.8,305.7,278.2,297.5,685924.62
2022-08-04,297.6,313.4,297.2,311.8,808604.152
2022-08-05,311.9,321.5,308.1,315.9,641807.573
2022-08-06,315.9,322.9,312.6,315.2,394288.536
2022-08-07,315.3,325.9,308.2,322.8,415090.183
2022-08-08,322.7,334.0,320.8,324.9,580206.607
2022-08-09,324.9,328.3,312.4,324.4,500589.395
2022-08-10,324.5,336.8,313.6,328.8,831222.11
2022-08-11,328.8,334.7,322.0,323.6,549578.328
2022-08-12,323.5,328.1,317.7,327.9,384848.843
2022-08-13,327.9,333.0,322.8,324.3,405066.252
2022-08-14,324.3,331.0,315.8,317.6,378353.918
2022-08-15,317.6,327.4,313.6,319.5,455916.278
2022-08-16,319.4,322.4,312.0,316.1,370975.919
2022-08-17,316.0,324.0,304.2,306.9,504236.732
2022-08-18,306.8,311.0,295.8,298.1,409051.886
2022-08-19,298.1,298.2,276.2,279.1,870296.511
2022-08-20,279.0,289.4,277.0,283.7,513021.106
2022-08-21,283.8,304.2,283.4,301.9,528156.209
2022-08-22,301.9,304.9,288.8,300.0,638895.985
2022-08-23,300.0,301.7,293.8,299.3,403374.952
2022-08-24,299.3,300.5,294.3,296.4,344126.265
2022-08-25,296.4,307.5,296.0,301.2,398617.06
2022-08-26,301.2,302.3,277.2,279.6,594770.355
2022-08-27,279.6,284.8,273.3,277.9,412732.716
2022-08-28,277.9,284.1,275.6,276.5,312819.026
2022-08-29,276.5,286.7,272.3,285.9,481690.832
2022-08-30,285.9,292.0,276.1,281.6,436765.765
2022-08-31,281.7,290.0,277.7,279.2,388909.545
2022-09-01,279.3,280.3,270.7,278.3,415193.212
