date,symbol,cluster
2023-02-26,BNB,1
2023-02-27,BNB,0
2023-02-28,BNB,0
2023-03-01,BNB,1
2023-03-02,BNB,1
2023-03-03,BNB,1
2023-03-04,BNB,1
2023-03-05,BNB,1
2023-03-06,BNB,1
2023-03-07,BNB,1
2023-03-08,BNB,0
2023-03-09,BNB,1
2023-03-10,BNB,0
2023-03-11,BNB,1
2023-03-12,BNB,1
2023-03-13,BNB,0
2023-03-14,BNB,1
2023-03-15,BNB,1
2023-03-16,BNB,1
2023-03-17,BNB,1
2023-03-18,BNB,1
2023-03-19,BNB,1
2023-03-20,BNB,1
2023-03-21,BNB,0
2023-03-22,BNB,0
2023-03-23,BNB,0
2023-03-24,BNB,0
2023-03-25,BNB,0
2023-03-26,BNB,0
2023-03-27,BNB,0
2023-03-28,BNB,0
2023-03-29,BNB,0
2023-03-30,BNB,0
2023-03-31,BNB,0
2023-04-01,BNB,0
2023-04-02,BNB,0
2023-04-03,BNB,0
2023-04-04,BNB,0
2023-04-05,BNB,0
2023-04-06,BNB,0
2023-04-07,BNB,0
2023-04-08,BNB,1
2023-04-09,BNB,0
2023-04-10,BNB,0
2023-04-11,BNB,0
2023-04-12,BNB,0
2023-04-13,BNB,1
2023-04-14,BNB,1
2023-04-15,BNB,1
2023-04-16,BNB,0
2023-04-17,BNB,1
2023-04-18,BNB,0
2023-04-19,BNB,1
2023-04-20,BNB,1
2023-04-21,BNB,0
2023-04-22,BNB,0
2023-04-23,BNB,1
2023-04-24,BNB,0
2023-04-25,BNB,0
2023-04-26,BNB,1
2023-04-27,BNB,1
2023-04-28,BNB,1
2023-04-29,BNB,1
2023-04-30,BNB,1
2023-05-01,BNB,1
2023-05-02,BNB,1
2023-05-03,BNB,1
2023-05-04,BNB,1
2023-05-05,BNB,1
2023-05-06,BNB,1
2023-05-07,BNB,1
2023-05-08,BNB,1
2023-05-09,BNB,1
2023-05-10,BNB,1
2023-05-11,BNB,1
2023-05-12,BNB,1
2023-05-13,BNB,0
2023-05-14,BNB,1
2023-05-15,BNB,1
2023-05-16,BNB,0
2023-05-17,BNB,1
2023-05-18,BNB,0
2023-05-19,BNB,1
2023-05-20,BNB,1
2023-05-21,BNB,1
2023-05-22,BNB,0
2023-05-23,BNB,1
2023-05-24,BNB,1
2023-05-25,BNB,0
2023-05-26,BNB,0
2023-05-27,BNB,0
2023-05-28,BNB,1
2023-05-29,BNB,1
2023-05-30,BNB,1
2023-05-31,BNB,0
2023-06-01,BNB,1
2023-06-02,BNB,1
2023-06-03,BNB,1
2023-06-04,BNB,0
2023-06-05,BNB,1
2023-06-06,BNB,0
2023-06-07,BNB,1
2023-06-08,BNB,0
2023-06-09,BNB,1
2023-06-10,BNB,1
2023-06-11,BNB,1
2023-06-12,BNB,1
2023-06-13,BNB,1
2023-06-14,BNB,1
2023-06-15,BNB,0
2023-06-16,BNB,0
2023-06-17,BNB,1
2023-06-18,BNB,1
2023-06-19,BNB,1
2023-06-20,BNB,0
2023-06-21,BNB,1
2023-06-22,BNB,1
2023-06-23,BNB,0
2023-06-24,BNB,1
2023-06-25,BNB,1
2023-06-26,BNB,1
2023-06-27,BNB,0
2023-06-28,BNB,0
2023-06-29,BNB,1
2023-06-30,BNB,1
2023-07-01,BNB,1
2023-07-02,BNB,1
2023-07-03,BNB,1
2023-07-04,BNB,1
2023-07-05,BNB,1
2023-07-06,BNB,0
2023-07-07,BNB,0
2023-07-08,BNB,0
2023-07-09,BNB,0
2023-07-10,BNB,1
2023-07-11,BNB,0
2023-07-12,BNB,1
2023-07-13,BNB,0
2023-07-14,BNB,0
